Date,Type,Category,Amount,Account,Month
2024-05-19,Expense,Entertainment,15138,UPI,May-2024
2024-11-25,Income,Salary,39333,Wallet,Nov-2024
2024-01-19,Expense,Transport,2259,UPI,Jan-2024
2024-11-21,Expense,Entertainment,13265,UPI,Nov-2024
2024-04-15,Income,Interest,97804,Bank,Apr-2024
2024-04-20,Income,Freelance,57900,Bank,Apr-2024
2024-07-17,Expense,Entertainment,13956,Credit Card,Jul-2024
2024-11-29,Expense,Rent,2973,UPI,Nov-2024
2024-11-04,Investment,Stocks,37874,Credit Card,Nov-2024
2024-11-24,Income,Interest,36356,UPI,Nov-2024
2024-08-04,Expense,Dining,1296,Wallet,Aug-2024
2024-02-22,Investment,Gold,33685,Bank,Feb-2024
2024-05-13,Expense,Dining,5636,Bank,May-2024
2024-09-28,Expense,Transport,18660,UPI,Sep-2024
2024-10-03,Expense,Groceries,2899,UPI,Oct-2024
2024-03-05,Expense,Transport,11860,Bank,Mar-2024
2024-01-01,Expense,Shopping,17727,UPI,Jan-2024
2024-02-22,Expense,Entertainment,12733,UPI,Feb-2024
2024-01-05,Expense,Shopping,10010,Bank,Jan-2024
2024-11-09,Income,Bonus,22431,Bank,Nov-2024
2024-03-21,Expense,Utilities,8933,Bank,Mar-2024
2024-05-15,Investment,Stocks,8874,Credit Card,May-2024
2024-10-20,Expense,Entertainment,18898,Wallet,Oct-2024
2024-01-30,Investment,FD,15670,Wallet,Jan-2024
2024-10-31,Expense,Transport,15464,Wallet,Oct-2024
2024-11-01,Expense,Groceries,11978,Wallet,Nov-2024
2024-08-19,Income,Interest,75363,UPI,Aug-2024
2024-07-19,Investment,FD,16804,Bank,Jul-2024
2024-11-16,Expense,Entertainment,16587,UPI,Nov-2024
2024-07-28,Investment,FD,5940,Wallet,Jul-2024
2024-04-19,Expense,Utilities,10587,UPI,Apr-2024
2024-03-23,Investment,Gold,42812,Wallet,Mar-2024
2024-07-06,Income,Salary,84140,Bank,Jul-2024
2024-07-18,Expense,Entertainment,19663,UPI,Jul-2024
2024-04-07,Expense,Entertainment,5440,UPI,Apr-2024
2024-05-20,Investment,Mutual Funds,6369,Bank,May-2024
2024-05-27,Expense,Groceries,9923,UPI,May-2024
2024-04-10,Expense,Transport,17085,UPI,Apr-2024
2024-12-23,Expense,Utilities,18683,Wallet,Dec-2024
2024-03-14,Expense,Dining,2581,Credit Card,Mar-2024
2024-08-27,Income,Interest,96357,UPI,Aug-2024
2024-05-04,Income,Bonus,66950,UPI,May-2024
2024-03-28,Income,Freelance,69821,UPI,Mar-2024
2024-08-29,Income,Freelance,10897,Credit Card,Aug-2024
2024-07-22,Expense,Entertainment,14915,Credit Card,Jul-2024
2024-04-26,Expense,Transport,17032,Bank,Apr-2024
2024-09-09,Expense,Utilities,16464,Bank,Sep-2024
2024-10-26,Expense,Shopping,9828,Credit Card,Oct-2024
2024-08-02,Expense,Entertainment,10728,Credit Card,Aug-2024
2024-12-16,Expense,Rent,18108,Credit Card,Dec-2024
2024-11-17,Investment,Gold,35904,Credit Card,Nov-2024
2024-11-19,Expense,Groceries,17605,Credit Card,Nov-2024
2024-07-27,Expense,Dining,8061,Credit Card,Jul-2024
2024-04-18,Expense,Dining,12620,Wallet,Apr-2024
2024-01-28,Expense,Utilities,11143,Bank,Jan-2024
2024-04-28,Expense,Rent,10237,Bank,Apr-2024
2024-03-14,Expense,Entertainment,11163,Wallet,Mar-2024
2024-04-13,Expense,Rent,6179,Wallet,Apr-2024
2024-10-09,Income,Bonus,41292,Bank,Oct-2024
2024-03-05,Expense,Entertainment,17486,Credit Card,Mar-2024
2024-06-19,Investment,Stocks,42012,Credit Card,Jun-2024
2024-11-29,Expense,Entertainment,6276,Credit Card,Nov-2024
2024-08-03,Expense,Utilities,6481,Credit Card,Aug-2024
2024-10-23,Expense,Transport,18444,Credit Card,Oct-2024
2024-04-17,Income,Interest,5810,Wallet,Apr-2024
2024-03-26,Expense,Rent,14835,UPI,Mar-2024
2024-12-01,Expense,Shopping,8679,Bank,Dec-2024
2024-01-02,Expense,Shopping,14788,Bank,Jan-2024
2024-12-07,Expense,Entertainment,10638,Wallet,Dec-2024
2024-10-16,Expense,Groceries,13893,UPI,Oct-2024
2024-05-08,Expense,Dining,11824,Wallet,May-2024
2024-10-22,Income,Bonus,15614,Credit Card,Oct-2024
2024-10-14,Expense,Entertainment,5623,Wallet,Oct-2024
2024-03-03,Expense,Rent,1228,Credit Card,Mar-2024
2024-11-07,Income,Freelance,12219,UPI,Nov-2024
2024-03-06,Expense,Entertainment,6086,Bank,Mar-2024
2024-01-27,Investment,FD,21072,UPI,Jan-2024
2024-10-05,Expense,Utilities,12216,UPI,Oct-2024
2024-12-12,Expense,Dining,9666,UPI,Dec-2024
2024-09-08,Expense,Transport,3911,Wallet,Sep-2024
2024-09-12,Expense,Groceries,14673,UPI,Sep-2024
2024-10-03,Income,Salary,93547,UPI,Oct-2024
2024-02-26,Expense,Transport,8980,UPI,Feb-2024
2024-06-18,Expense,Rent,2432,Bank,Jun-2024
2024-09-21,Expense,Transport,12511,Wallet,Sep-2024
2024-09-15,Expense,Rent,908,Bank,Sep-2024
2024-03-04,Expense,Entertainment,3929,Bank,Mar-2024
2024-06-19,Investment,Stocks,9643,Wallet,Jun-2024
2024-07-02,Income,Interest,40935,Wallet,Jul-2024
2024-03-24,Investment,Mutual Funds,12196,Wallet,Mar-2024
2024-01-09,Expense,Transport,8359,Credit Card,Jan-2024
2024-03-11,Expense,Rent,7380,Bank,Mar-2024
2024-12-31,Expense,Shopping,16561,Wallet,Dec-2024
2024-09-17,Expense,Entertainment,7807,Wallet,Sep-2024
2024-09-28,Expense,Entertainment,14352,UPI,Sep-2024
2024-07-25,Expense,Rent,836,UPI,Jul-2024
2024-06-25,Expense,Transport,5952,Credit Card,Jun-2024
2024-03-29,Expense,Transport,11218,Bank,Mar-2024
2024-10-30,Expense,Rent,14640,Credit Card,Oct-2024
2024-01-18,Expense,Transport,18855,Bank,Jan-2024
2024-09-15,Investment,Gold,11608,Bank,Sep-2024
2024-09-06,Expense,Entertainment,6902,Bank,Sep-2024
2024-08-15,Income,Freelance,68658,Wallet,Aug-2024
2024-08-09,Income,Freelance,35173,UPI,Aug-2024
2024-12-22,Investment,FD,28485,Wallet,Dec-2024
2024-11-25,Income,Interest,34383,UPI,Nov-2024
2024-03-04,Investment,Gold,18542,UPI,Mar-2024
2024-12-10,Expense,Transport,9760,Wallet,Dec-2024
2024-07-18,Expense,Shopping,4634,Wallet,Jul-2024
2024-11-21,Expense,Shopping,1492,Wallet,Nov-2024
2024-06-04,Expense,Rent,5983,UPI,Jun-2024
2024-01-10,Expense,Dining,7823,UPI,Jan-2024
2024-08-19,Expense,Groceries,4841,UPI,Aug-2024
2024-12-28,Expense,Dining,17064,Bank,Dec-2024
2024-11-29,Income,Salary,82313,UPI,Nov-2024
2024-09-10,Expense,Entertainment,15252,UPI,Sep-2024
2024-07-24,Expense,Rent,12902,Credit Card,Jul-2024
2024-12-12,Expense,Entertainment,14094,Bank,Dec-2024
2024-04-24,Expense,Dining,18429,Credit Card,Apr-2024
2024-04-21,Expense,Transport,8538,Wallet,Apr-2024
2024-11-03,Income,Freelance,55646,UPI,Nov-2024
2024-07-16,Expense,Groceries,11035,Credit Card,Jul-2024
2024-08-30,Expense,Shopping,8559,Wallet,Aug-2024
2024-02-18,Expense,Entertainment,19376,Wallet,Feb-2024
2024-05-06,Expense,Transport,5434,Credit Card,May-2024
2024-07-26,Income,Freelance,67026,Credit Card,Jul-2024
2024-06-10,Income,Interest,58808,Bank,Jun-2024
2024-07-22,Expense,Transport,14111,Wallet,Jul-2024
2024-02-10,Expense,Dining,14719,Bank,Feb-2024
2024-06-05,Expense,Groceries,14951,UPI,Jun-2024
2024-07-01,Expense,Entertainment,14309,Wallet,Jul-2024
2024-12-16,Expense,Utilities,3062,Bank,Dec-2024
2024-01-17,Income,Interest,90737,Credit Card,Jan-2024
2024-01-23,Investment,Gold,41444,Wallet,Jan-2024
2024-02-25,Income,Salary,97013,Credit Card,Feb-2024
2024-06-22,Expense,Rent,14541,Wallet,Jun-2024
2024-10-22,Investment,Mutual Funds,27167,Bank,Oct-2024
2024-08-17,Investment,Stocks,27315,Credit Card,Aug-2024
2024-08-28,Investment,FD,12030,UPI,Aug-2024
2024-03-12,Expense,Rent,1878,Credit Card,Mar-2024
2024-06-25,Expense,Transport,18402,Wallet,Jun-2024
2024-07-30,Investment,Stocks,20629,Credit Card,Jul-2024
2024-10-02,Investment,Gold,29663,UPI,Oct-2024
2024-03-01,Expense,Shopping,2272,UPI,Mar-2024
2024-02-19,Expense,Shopping,3314,UPI,Feb-2024
2024-07-18,Expense,Rent,6904,Bank,Jul-2024
2024-01-20,Investment,Gold,11552,Bank,Jan-2024
2024-09-17,Expense,Groceries,16431,Wallet,Sep-2024
2024-11-13,Expense,Groceries,17463,Bank,Nov-2024
2024-10-21,Expense,Shopping,6356,Credit Card,Oct-2024
2024-06-10,Income,Bonus,28833,Bank,Jun-2024
2024-06-29,Income,Bonus,54065,UPI,Jun-2024
2024-12-28,Income,Salary,48195,Bank,Dec-2024
2024-03-16,Expense,Utilities,17522,Credit Card,Mar-2024
2024-03-17,Income,Interest,75597,UPI,Mar-2024
2024-02-04,Expense,Groceries,15132,UPI,Feb-2024
2024-08-15,Income,Salary,97424,Bank,Aug-2024
2024-10-11,Investment,Gold,46606,UPI,Oct-2024
2024-12-14,Expense,Rent,10536,Credit Card,Dec-2024
2024-09-12,Expense,Groceries,5194,Bank,Sep-2024
2024-06-16,Income,Interest,74274,Bank,Jun-2024
2024-05-24,Expense,Groceries,2354,Bank,May-2024
2024-01-10,Investment,Stocks,4286,Wallet,Jan-2024
2024-10-21,Expense,Entertainment,6714,Wallet,Oct-2024
2024-03-04,Expense,Groceries,3256,Credit Card,Mar-2024
2024-09-02,Expense,Rent,3167,Wallet,Sep-2024
2024-03-09,Income,Freelance,28203,Credit Card,Mar-2024
2024-04-26,Investment,Mutual Funds,4887,Bank,Apr-2024
2024-06-02,Expense,Entertainment,2565,UPI,Jun-2024
2024-07-09,Investment,FD,20084,Wallet,Jul-2024
2024-08-17,Expense,Groceries,3581,UPI,Aug-2024
2024-06-28,Expense,Utilities,2719,UPI,Jun-2024
2024-09-02,Investment,Gold,11655,UPI,Sep-2024
2024-08-12,Income,Freelance,38768,Bank,Aug-2024
2024-08-23,Investment,Stocks,18275,Wallet,Aug-2024
2024-10-16,Income,Salary,28496,Bank,Oct-2024
2024-08-27,Expense,Rent,3744,Bank,Aug-2024
2024-03-12,Expense,Utilities,17295,Bank,Mar-2024
2024-11-07,Investment,FD,12659,Credit Card,Nov-2024
2024-10-29,Income,Interest,84076,Wallet,Oct-2024
2024-01-24,Income,Bonus,48160,UPI,Jan-2024
2024-02-12,Expense,Dining,18653,Bank,Feb-2024
2024-09-19,Investment,Stocks,42181,Credit Card,Sep-2024
2024-06-14,Expense,Utilities,15759,Wallet,Jun-2024
2024-08-15,Investment,Gold,20802,Credit Card,Aug-2024
2024-07-29,Investment,FD,16585,Credit Card,Jul-2024
2024-08-06,Expense,Transport,11146,UPI,Aug-2024
2024-10-25,Expense,Utilities,16399,Bank,Oct-2024
2024-05-24,Investment,Gold,42811,Bank,May-2024
2024-11-22,Expense,Transport,14178,Wallet,Nov-2024
2024-03-23,Expense,Rent,1895,Credit Card,Mar-2024
2024-03-14,Investment,Stocks,16342,Bank,Mar-2024
2024-04-04,Expense,Transport,19964,Bank,Apr-2024
2024-04-27,Investment,Gold,24836,Wallet,Apr-2024
2024-02-04,Investment,FD,10462,Bank,Feb-2024
2024-09-16,Income,Freelance,12652,Credit Card,Sep-2024
2024-04-14,Income,Interest,47588,Wallet,Apr-2024
2024-11-16,Expense,Transport,19922,Credit Card,Nov-2024
2024-09-20,Expense,Rent,9479,Bank,Sep-2024
2024-04-13,Expense,Groceries,2082,Bank,Apr-2024
2024-12-11,Income,Salary,16317,UPI,Dec-2024
2024-05-27,Investment,Gold,13068,Credit Card,May-2024
2024-11-01,Income,Salary,13216,UPI,Nov-2024
2024-12-03,Expense,Utilities,608,Credit Card,Dec-2024
2024-07-27,Expense,Utilities,13588,Credit Card,Jul-2024
2024-11-30,Income,Bonus,29071,Credit Card,Nov-2024
2024-04-16,Expense,Utilities,7862,Bank,Apr-2024
2024-07-27,Income,Bonus,63888,Bank,Jul-2024
2024-08-16,Income,Freelance,6131,Wallet,Aug-2024
2024-08-25,Expense,Groceries,19523,Bank,Aug-2024
2024-08-06,Expense,Dining,4215,Credit Card,Aug-2024
2024-10-27,Expense,Utilities,4380,Bank,Oct-2024
2024-10-31,Expense,Rent,9676,Credit Card,Oct-2024
2024-02-28,Expense,Groceries,8418,UPI,Feb-2024
2024-11-05,Investment,Gold,33240,Bank,Nov-2024
2024-12-21,Income,Bonus,64645,Bank,Dec-2024
2024-01-22,Expense,Dining,7972,UPI,Jan-2024
2024-03-19,Expense,Transport,5621,Bank,Mar-2024
2024-01-22,Expense,Shopping,6365,Wallet,Jan-2024
2024-07-03,Investment,FD,25376,Credit Card,Jul-2024
2024-10-18,Expense,Entertainment,14490,Credit Card,Oct-2024
2024-11-02,Investment,Gold,21574,Credit Card,Nov-2024
2024-10-09,Investment,Gold,22083,Bank,Oct-2024
2024-12-14,Expense,Utilities,2143,Wallet,Dec-2024
2024-08-14,Expense,Groceries,688,Bank,Aug-2024
2024-06-17,Income,Bonus,18145,Bank,Jun-2024
2024-11-23,Expense,Transport,984,Bank,Nov-2024
2024-05-28,Expense,Dining,11321,Credit Card,May-2024
2024-03-17,Investment,Mutual Funds,34688,Credit Card,Mar-2024
2024-04-01,Expense,Dining,4107,Credit Card,Apr-2024
2024-11-19,Investment,FD,25849,Credit Card,Nov-2024
2024-12-21,Expense,Entertainment,11782,Bank,Dec-2024
2024-08-08,Expense,Shopping,13581,Bank,Aug-2024
2024-03-23,Income,Bonus,36975,Bank,Mar-2024
2024-06-08,Investment,Gold,1665,UPI,Jun-2024
2024-10-19,Expense,Rent,1635,Wallet,Oct-2024
2024-07-07,Expense,Transport,4769,Wallet,Jul-2024
2024-07-08,Expense,Rent,7667,Wallet,Jul-2024
2024-05-06,Expense,Rent,15934,Wallet,May-2024
2024-09-14,Expense,Dining,13596,Wallet,Sep-2024
2024-06-27,Investment,Gold,2757,UPI,Jun-2024
2024-05-07,Investment,Gold,16208,Credit Card,May-2024
2024-06-02,Investment,Gold,18543,UPI,Jun-2024
2024-07-01,Expense,Shopping,12981,UPI,Jul-2024
2024-08-01,Expense,Entertainment,19981,UPI,Aug-2024
2024-04-01,Expense,Dining,2704,Bank,Apr-2024
2024-07-12,Expense,Entertainment,1498,Credit Card,Jul-2024
2024-05-18,Expense,Utilities,15421,Bank,May-2024
2024-12-16,Investment,Stocks,35781,Wallet,Dec-2024
2024-05-08,Investment,Mutual Funds,27342,Credit Card,May-2024
2024-02-29,Expense,Dining,10285,Wallet,Feb-2024
2024-04-03,Income,Interest,84119,UPI,Apr-2024
2024-02-01,Expense,Utilities,14833,Wallet,Feb-2024
2024-02-26,Income,Freelance,99914,UPI,Feb-2024
2024-06-28,Expense,Dining,1051,Bank,Jun-2024
2024-03-22,Income,Interest,70024,Credit Card,Mar-2024
2024-10-08,Income,Interest,64659,Wallet,Oct-2024
2024-04-20,Expense,Entertainment,13684,Bank,Apr-2024
2024-01-12,Expense,Utilities,874,Wallet,Jan-2024
2024-12-02,Investment,Mutual Funds,42181,Bank,Dec-2024
2024-08-19,Expense,Dining,13209,Wallet,Aug-2024
2024-03-04,Expense,Rent,12946,Bank,Mar-2024
2024-07-11,Expense,Shopping,4261,Bank,Jul-2024
2024-10-20,Expense,Entertainment,5729,Credit Card,Oct-2024
2024-03-19,Expense,Transport,3791,Bank,Mar-2024
2024-02-21,Expense,Entertainment,2309,Credit Card,Feb-2024
2024-05-16,Expense,Rent,4752,Credit Card,May-2024
2024-05-07,Income,Salary,77046,UPI,May-2024
2024-01-28,Expense,Entertainment,10797,Bank,Jan-2024
2024-12-22,Expense,Dining,19407,Bank,Dec-2024
2024-01-21,Expense,Transport,8415,UPI,Jan-2024
2024-06-30,Investment,Mutual Funds,11566,Bank,Jun-2024
2024-06-12,Expense,Dining,19778,Wallet,Jun-2024
2024-01-03,Expense,Rent,6718,UPI,Jan-2024
2024-12-24,Expense,Groceries,9565,Wallet,Dec-2024
2024-08-19,Expense,Entertainment,6096,Bank,Aug-2024
2024-12-05,Income,Bonus,73297,UPI,Dec-2024
2024-05-31,Income,Interest,74695,Wallet,May-2024
2024-01-16,Expense,Shopping,11619,UPI,Jan-2024
2024-12-11,Expense,Shopping,9709,Credit Card,Dec-2024
2024-06-17,Investment,FD,26212,UPI,Jun-2024
2024-06-22,Investment,Mutual Funds,2282,Wallet,Jun-2024
2024-05-10,Income,Interest,67386,Credit Card,May-2024
2024-07-07,Income,Interest,96017,Credit Card,Jul-2024
2024-01-05,Expense,Utilities,2474,Wallet,Jan-2024
2024-05-09,Expense,Dining,10772,Wallet,May-2024
2024-08-29,Expense,Shopping,11845,UPI,Aug-2024
2024-08-05,Income,Freelance,36906,UPI,Aug-2024
2024-01-04,Income,Salary,6396,Wallet,Jan-2024
2024-02-04,Expense,Rent,14289,UPI,Feb-2024
2024-09-01,Expense,Shopping,15376,Bank,Sep-2024
2024-08-26,Expense,Transport,5306,UPI,Aug-2024
2024-11-24,Investment,Stocks,36050,UPI,Nov-2024
2024-06-02,Income,Freelance,23555,Credit Card,Jun-2024
2024-06-18,Expense,Groceries,1650,Bank,Jun-2024
2024-11-15,Income,Salary,19818,Bank,Nov-2024
2024-09-29,Income,Interest,87002,Wallet,Sep-2024
2024-04-06,Income,Interest,86836,Bank,Apr-2024
2024-06-21,Expense,Utilities,7725,Credit Card,Jun-2024
2024-07-20,Expense,Transport,10099,Credit Card,Jul-2024
2024-11-15,Income,Interest,63580,UPI,Nov-2024
2024-06-24,Expense,Entertainment,6952,UPI,Jun-2024
2024-08-31,Expense,Transport,6873,Bank,Aug-2024
2024-03-05,Income,Interest,75989,Credit Card,Mar-2024
2024-04-07,Expense,Entertainment,17651,Credit Card,Apr-2024
2024-06-20,Investment,FD,46138,Wallet,Jun-2024
2024-07-22,Income,Interest,64840,Wallet,Jul-2024
2024-08-25,Investment,FD,22874,Credit Card,Aug-2024
2024-10-12,Expense,Groceries,13421,Wallet,Oct-2024
2024-02-26,Expense,Rent,3401,Wallet,Feb-2024
2024-06-08,Expense,Rent,16525,Credit Card,Jun-2024
2024-10-03,Investment,Mutual Funds,18287,Wallet,Oct-2024
2024-09-08,Expense,Dining,8320,Wallet,Sep-2024
2024-02-03,Expense,Rent,19228,UPI,Feb-2024
2024-08-16,Investment,FD,21339,Wallet,Aug-2024
2024-06-05,Expense,Transport,19810,Credit Card,Jun-2024
2024-07-04,Expense,Dining,1023,Wallet,Jul-2024
2024-07-05,Income,Interest,99682,Wallet,Jul-2024
2024-08-27,Expense,Shopping,18866,Bank,Aug-2024
2024-01-22,Expense,Dining,16057,UPI,Jan-2024
2024-06-01,Expense,Utilities,2687,Wallet,Jun-2024
2024-02-12,Investment,FD,9127,Credit Card,Feb-2024
2024-05-17,Investment,Stocks,17585,Wallet,May-2024
2024-04-29,Expense,Dining,8925,UPI,Apr-2024
2024-05-02,Expense,Shopping,5259,Bank,May-2024
2024-09-29,Expense,Groceries,12670,UPI,Sep-2024
2024-05-08,Expense,Entertainment,1979,Credit Card,May-2024
2024-03-24,Investment,Stocks,12647,Credit Card,Mar-2024
2024-04-22,Income,Salary,45520,Bank,Apr-2024
2024-11-29,Income,Bonus,73254,UPI,Nov-2024
2024-01-27,Expense,Entertainment,4466,Wallet,Jan-2024
2024-10-14,Expense,Utilities,13306,Bank,Oct-2024
2024-11-15,Expense,Shopping,17429,Bank,Nov-2024
2024-06-16,Expense,Utilities,19396,Wallet,Jun-2024
2024-07-28,Investment,Mutual Funds,7740,Wallet,Jul-2024
2024-01-29,Income,Salary,19260,Wallet,Jan-2024
2024-03-20,Expense,Dining,8397,Credit Card,Mar-2024
2024-07-18,Expense,Dining,13363,Wallet,Jul-2024
2024-02-12,Expense,Transport,6041,Credit Card,Feb-2024
2024-08-20,Investment,Gold,29143,Wallet,Aug-2024
2024-11-04,Expense,Transport,12793,Bank,Nov-2024
2024-11-21,Expense,Utilities,7140,Bank,Nov-2024
2024-01-20,Income,Freelance,16515,Wallet,Jan-2024
2024-04-18,Expense,Entertainment,9184,Bank,Apr-2024
2024-11-03,Income,Salary,29254,UPI,Nov-2024
2024-06-25,Expense,Rent,8440,Credit Card,Jun-2024
2024-04-08,Investment,FD,14647,Bank,Apr-2024
2024-11-08,Income,Salary,20768,Bank,Nov-2024
2024-06-08,Investment,FD,22042,UPI,Jun-2024
2024-05-23,Expense,Rent,16640,Bank,May-2024
2024-02-09,Expense,Dining,8880,UPI,Feb-2024
2024-10-04,Investment,Stocks,21301,UPI,Oct-2024
2024-08-02,Income,Freelance,14620,Wallet,Aug-2024
2024-05-13,Income,Interest,83238,UPI,May-2024
2024-05-03,Income,Bonus,65506,UPI,May-2024
2024-09-18,Expense,Utilities,13801,Wallet,Sep-2024
2024-08-11,Investment,FD,5686,Wallet,Aug-2024
2024-07-26,Expense,Utilities,3633,UPI,Jul-2024
2024-12-19,Expense,Rent,7282,Bank,Dec-2024
2024-07-20,Expense,Dining,4999,Credit Card,Jul-2024
2024-08-21,Income,Freelance,88647,UPI,Aug-2024
2024-07-25,Income,Salary,37972,Bank,Jul-2024
2024-05-08,Expense,Groceries,16214,Credit Card,May-2024
2024-07-07,Expense,Utilities,1917,UPI,Jul-2024
2024-04-16,Expense,Utilities,2309,Bank,Apr-2024
2024-11-23,Income,Bonus,28178,UPI,Nov-2024
2024-05-13,Investment,Gold,49923,UPI,May-2024
2024-01-19,Expense,Rent,4367,UPI,Jan-2024
